Unnamed: 0,Unnamed: 0.1,Viral coefficient,Cycle time,Retention rate,Resurrection rate,New,Active,Lost
0,0,0.5274734583331012,20.0,0.1327195301571571,0.0020148378124062293,10,0.0,0.0
1,1,0.5279161224380411,20.0,0.13505010122335145,0.0020546639749666595,10,1.0,9.0
2,2,0.5283650112413856,20.0,0.13736904851786025,0.0020942915037126444,10,2.0,18.0
3,3,0.5288201958763411,20.0,0.1396764300144866,0.0021337213893344656,10,3.0,27.0
4,4,0.5292817480095335,20.0,0.14197230339788813,0.002172954617581319,10,4.0,36.0
5,5,0.5297497398403228,20.0,0.14425672606501894,0.002211992169285951,10,5.0,45.0
6,6,0.5302242441000183,20.0,0.14652975512656474,0.00225083502038919,10,7.0,53.0
7,7,0.5307053340509981,20.0,0.1487914474083704,0.002289484141964337,10,9.0,61.0
8,8,0.5311930834857265,20.0,0.1510418594528608,0.0023279405002414435,10,11.0,69.0
9,9,0.5316875667256716,20.0,0.15328104752045435,0.0023662050566314683,10,13.0,77.0
10,10,0.5321888586201207,20.0,0.15550906759096927,0.002404278767750315,10,15.0,85.0
11,11,0.5326970345448898,20.0,0.1577259753650233,0.002442162585442745,10,17.0,93.0
12,12,0.5332121704009306,20.0,0.15993182626542646,0.002479857456806174,10,19.0,101.0
13,13,0.5337343426128284,20.0,0.1621266754385659,0.0025173643242143483,10,21.0,109.0
14,14,0.5342636281271931,20.0,0.16431057775578545,0.002554684125340907,10,23.0,117.0
15,15,0.5348001044109402,20.0,0.16648358781475664,0.0025918177931828212,10,25.0,125.0
16,16,0.5353438494494615,20.0,0.1686457599408443,0.002628766256083721,10,27.0,133.0
17,17,0.5358949417446826,20.0,0.17079714818846406,0.0026655304377571076,10,29.0,141.0
18,18,0.5364534603130077,20.0,0.1729378063424341,0.002702111257309432,10,31.0,149.0
19,19,0.5370194846831486,20.0,0.17506778791931998,0.0027385096292630905,10,33.0,157.0
20,20,0.5375930948938381,20.0,0.1771871461687719,0.002774726463579278,13,35.0,165.0
21,21,0.5381743714914244,20.0,0.1792959340748565,0.0028107626656807385,10,38.0,175.0
22,22,0.5387633955273475,20.0,0.18139420435738127,0.002846619136474401,10,40.0,183.0
23,23,0.5393602485554948,20.0,0.18348200947321264,0.002882296772373904,10,42.0,191.0
24,24,0.5399650126294343,20.0,0.1855594016175872,0.002917796465322,10,44.0,199.0
25,25,0.5405777702995256,20.0,0.18762643272541665,0.0029531191028128656,10,46.0,207.0
26,26,0.5411986046099052,20.0,0.1896831544725865,0.002988265567914277,10,48.0,215.0
27,27,0.5418275990953467,20.0,0.19172961827724733,0.0030232367392896893,10,51.0,222.0
28,28,0.5424648377779938,20.0,0.1937658753011012,0.003058033491220211,10,54.0,229.0
29,29,0.5431104051639645,20.0,0.19579197645067944,0.003092656693626453,10,57.0,236.0
30,30,0.5437643862398255,20.0,0.1978079723786164,0.003127107212090278,10,60.0,243.0
31,31,0.5444268664689357,20.0,0.1998139134849153,0.0031613859078764416,10,63.0,250.0
32,32,0.5450979317876571,20.0,0.2018098499182084,0.0031954936379541233,10,66.0,257.0
33,33,0.5457776686014326,20.0,0.20379583157701026,0.0032294312550183533,10,69.0,264.0
34,34,0.5464661637807277,20.0,0.205771908110966,0.003263199607511324,10,72.0,271.0
35,35,0.5471635046568369,20.0,0.2077381289220916,0.003296799539643607,10,75.0,278.0
36,36,0.5478697790175533,20.0,0.20969454316601005,0.0033302318914152557,10,78.0,285.0
37,37,0.5485850751026975,20.0,0.2116411997531792,0.003363497498636807,10,81.0,292.0
38,38,0.5493094815995089,20.0,0.2135781473501152,0.003396597192950172,10,84.0,299.0
39,39,0.5500430876378941,20.0,0.2155054343806088,0.0034295318018494328,10,87.0,306.0
40,40,0.5507859827855347,20.0,0.21742310902693598,0.003462302148701527,10,90.0,313.0
41,41,0.5515382570428499,20.0,0.21933121923106308,0.003494909052766835,11,93.0,320.0
42,42,0.5523000008378158,20.0,0.2212298126958444,0.0035273533292196533,10,97.0,327.0
43,43,0.5530713050206393,20.0,0.22311893688621548,0.0035596357891685853,10,100.0,334.0
44,44,0.5538522608582827,20.0,0.2249986390303796,0.0035917572396768124,10,103.0,341.0
45,45,0.5546429600288435,20.0,0.2268689661209879,0.0036237184837822666,11,106.0,348.0
46,46,0.5554434946157832,20.0,0.2287299649163155,0.003655520320517718,11,110.0,355.0
47,47,0.5562539571020062,20.0,0.2305816819414289,0.0036871635449307405,11,114.0,362.0
48,48,0.5570744403637875,20.0,0.2324241634893503,0.0037186489481035906,11,118.0,369.0
49,49,0.5579050376645488,20.0,0.23425745562221445,0.003749977317172993,11,122.0,376.0
50,50,0.5587458426484806,20.0,0.2360816041724199,0.0037811494353497993,11,126.0,383.0
51,51,0.55959694933401,20.0,0.2378966547437757,0.0038121660819385923,11,130.0,390.0
52,52,0.5604584521071141,20.0,0.2397026527126405,0.003843028032357148,11,134.0,397.0
53,53,0.5613304457144759,20.0,0.24149964322905754,0.003873736058155839,11,138.0,404.0
54,54,0.5622130252564838,20.0,0.24328767121788336,0.0039042909270369077,11,142.0,411.0
55,55,0.5631062861800734,20.0,0.2450667813799109,0.0039346934028736645,11,146.0,418.0
56,56,0.5640103242714096,20.0,0.2468370181929869,0.0039649442457295936,11,150.0,425.0
57,57,0.5649252356484088,20.0,0.24859842591312376,0.003995044211877341,11,154.0,432.0
58,58,0.5658511167531011,20.0,0.2503510485756062,0.004024994053817625,11,158.0,439.0
59,59,0.56678806434383,20.0,0.2520949299960922,0.004054794520298056,11,163.0,445.0
60,60,0.5677361754872914,20.0,0.253830113771708,0.004084446356331849,11,168.0,451.0
61,61,0.5686955475504072,20.0,0.25555664328213834,0.0041139503032164475,11,173.0,457.0
62,62,0.5696662781920373,20.0,0.25727456169071106,0.004143307098552063,11,178.0,463.0
63,63,0.5706484653545253,20.0,0.25898391194547565,0.004172517476260104,11,183.0,469.0
64,64,0.5716422072550802,20.0,0.26068473678027776,0.004201582166601536,11,188.0,475.0
65,65,0.5726476023769913,20.0,0.2623770787158265,0.004230501896195134,11,193.0,481.0
66,66,0.573664749460677,20.0,0.2640609800607588,0.004259277388035641,11,198.0,487.0
67,67,0.574693747494566,20.0,0.26573648291269564,0.004287909361511851,11,203.0,493.0
68,68,0.5757346957058116,20.0,0.2674036291592958,0.004316398532424596,11,208.0,499.0
69,69,0.576787693550836,20.0,0.2690624604793021,0.0043447456130046285,11,213.0,505.0
70,70,0.5778528407057081,20.0,0.2707130183435841,0.004372951311930443,11,218.0,511.0
71,71,0.5789302370563494,20.0,0.27235534401617434,0.0044010163343459795,11,223.0,517.0
72,72,0.5800199826885721,20.0,0.2739894785553001,0.004428941381878261,11,228.0,523.0
73,73,0.5811221778779463,20.0,0.27561546281440996,0.004456727152654929,11,233.0,529.0
74,74,0.5822369230794959,20.0,0.2772333374431953,0.004484374341321702,11,238.0,535.0
75,75,0.5833643189172246,20.0,0.27884314288860584,0.004511883639059735,11,243.0,541.0
76,76,0.5845044661734698,20.0,0.2804449193958617,0.0045392557336029074,11,249.0,546.0
77,77,0.5856574657780853,20.0,0.2820387070094589,0.0045664913092550025,11,255.0,551.0
78,78,0.5868234187974518,20.0,0.2836245455741709,0.0045935910469068345,11,261.0,556.0
79,79,0.5880024264233157,20.0,0.28520247473604426,0.0046205556240532545,11,267.0,561.0
80,80,0.5891945899614548,20.0,0.2867725339433904,0.004647385714810097,11,273.0,566.0
81,81,0.5904000108201729,20.0,0.28833476244777106,0.004674081989931029,11,279.0,571.0
82,82,0.5916187904986204,20.0,0.2898891993049805,0.004700645116824315,11,285.0,576.0
83,83,0.5928510305749431,20.0,0.29143588337602083,0.004727075759569515,11,291.0,581.0
84,84,0.5940968326942582,20.0,0.29297485332807444,0.004753374578934071,11,297.0,586.0
85,85,0.5953562985564568,20.0,0.2945061476354705,0.0047795422323898395,11,303.0,591.0
86,86,0.5966295299038354,20.0,0.2960298045806462,0.004805579374129518,11,309.0,596.0
87,87,0.5979166285085533,20.0,0.29754586225510465,0.004831486655083008,11,315.0,601.0
88,88,0.5992176961599178,20.0,0.29905435856036666,0.004857264722933681,11,321.0,606.0
89,89,0.6005328346514976,20.0,0.3005553312089184,0.004882914222134576,11,327.0,611.0
90,90,0.6018621457680642,20.0,0.3020488177251543,0.00490843579392451,11,333.0,616.0
91,91,0.6032057312723599,20.0,0.30353485544631503,0.004933830076344105,11,339.0,621.0
92,92,0.6045636928916964,20.0,0.3050134815234209,0.004959097704251746,11,345.0,626.0
93,93,0.6059361323043805,20.0,0.3064847329222011,0.004984239309339445,11,351.0,631.0
94,94,0.6073231511259691,20.0,0.3079486464240169,0.005009255520148641,11,358.0,635.0
95,95,0.6087248508953547,20.0,0.3094052586267825,0.005034146962085906,11,365.0,639.0
96,96,0.6101413330606792,20.0,0.3108546059458785,0.005058914257438583,11,372.0,643.0
97,97,0.6115726989650797,20.0,0.3122967246150635,0.005083558025390349,11,379.0,647.0
98,98,0.6130190498322641,20.0,0.3137316506873793,0.005108078882036684,11,386.0,651.0
99,99,0.6144804867519189,20.0,0.3151594200360526,0.005132477440400283,11,393.0,655.0
100,100,0.6159571106649495,20.0,0.31658006835539115,0.005156754310446376,11,400.0,659.0
101,101,0.6174490223485518,20.0,0.3179936311616772,0.005180910099097976,11,407.0,663.0
102,102,0.6189563224011192,20.0,0.3194001437940545,0.005204945410251061,11,414.0,667.0
103,103,0.620479111226983,20.0,0.32079964141541195,0.005228860844789656,11,421.0,671.0
104,104,0.6220174890209883,20.0,0.32219215901326315,0.005252657000600876,11,428.0,675.0
105,105,0.6235715557529056,20.0,0.3235777314006205,0.005276334472589853,11,435.0,679.0
106,106,0.6251414111516798,20.0,0.3249563932168659,0.0052998938526946215,11,442.0,683.0
107,107,0.6267271546895163,20.0,0.3263281789286165,0.005323335729900908,11,449.0,687.0
108,108,0.6283288855658073,20.0,0.3276931228305865,0.005346660690256866,11,456.0,691.0
109,109,0.6299467026908973,20.0,0.3290512590464447,0.0053698693168877185,11,463.0,695.0
110,110,0.6315807046696886,20.0,0.33040262152966704,0.005392962190010342,11,470.0,699.0
111,111,0.6332309897850918,20.0,0.33174724406438616,0.005415939886947765,11,477.0,703.0
112,112,0.6348976559813172,20.0,0.3330851602662353,0.005438802982143608,12,484.0,707.0
113,113,0.6365808008470119,20.0,0.33441640358318936,0.005461552047176442,12,492.0,711.0
114,114,0.6382805215982431,20.0,0.33574100729640044,0.005484187650774079,12,500.0,715.0
115,115,0.6399969150613288,20.0,0.3370590045210305,0.005506710358827784,12,508.0,719.0
116,116,0.6417300776555164,20.0,0.33837042820707863,0.005529120734406435,12,516.0,723.0
117,117,0.6434801053755126,20.0,0.33967531114020544,0.005551419337770589,12,524.0,727.0
118,118,0.6452470937738652,20.0,0.3409736859425522,0.005573606726386488,12,532.0,731.0
119,119,0.6470311379431967,20.0,0.3422655850735565,0.005595683454940007,12,540.0,735.0
120,120,0.6488323324982949,20.0,0.34355104083076393,0.005617650075350508,12,548.0,739.0
121,121,0.6506507715580585,20.0,0.34483008535063553,0.005639507136784644,12,556.0,743.0
122,122,0.6524865487273024,20.0,0.3461027506093507,0.005661255185670091,12,564.0,747.0
123,123,0.6543397570784218,20.0,0.3473690684236073,0.0056828947657092035,12,572.0,751.0
124,124,0.6562104891329197,20.0,0.3486290704514166,0.0057044264178926106,12,580.0,755.0
125,125,0.6580988368427965,20.0,0.34988278819289503,0.005725850680512733,12,588.0,759.0
126,126,0.6600048915718078,20.0,0.3511302529910512,0.00574716808917726,12,597.0,762.0
127,127,0.6619287440765875,20.0,0.3523714960325702,0.005768379176822512,12,606.0,765.0
128,128,0.6638704844876426,20.0,0.3536065483485927,0.005789484473726788,12,615.0,768.0
129,129,0.6658302022902193,20.0,0.3548354408154909,0.00581048450752361,12,624.0,771.0
130,130,0.6678079863050422,20.0,0.3560582041556405,0.005831379803214916,12,633.0,774.0
131,131,0.6698039246689323,20.0,0.3572748689381887,0.005852170883184187,12,642.0,777.0
132,132,0.6718181048153009,20.0,0.3584854655798184,0.0058728582672095036,12,651.0,780.0
133,133,0.6738506134545259,20.0,0.35969002434550873,0.005893442472476545,12,660.0,783.0
134,134,0.6759015365542114,20.0,0.3608885753492915,0.005913924013591516,12,669.0,786.0
135,135,0.6779709593193322,20.0,0.3620811485550043,0.00593430340259401,12,678.0,789.0
136,136,0.6800589661722672,20.0,0.36326777377703934,0.005954581148969812,12,687.0,792.0
137,137,0.6821656407327235,20.0,0.3644484806810889,0.005974757759663641,12,696.0,795.0
138,138,0.6842910657975527,20.0,0.3656232987848873,0.005994833739091814,12,705.0,798.0
139,139,0.6864353233204654,20.0,0.36679225745894817,0.00601480958915486,12,714.0,801.0
140,140,0.6885984943916419,20.0,0.3679553859272993,0.006034685809250072,12,723.0,804.0
141,141,0.6907806592172455,20.0,0.3691127132682128,0.006054462896283989,12,732.0,807.0
142,142,0.6929818970988411,20.0,0.3702642684149328,0.0060741413446848145,12,741.0,810.0
143,143,0.6952022864127181,20.0,0.3714100801563977,0.006093721646414789,12,750.0,813.0
144,144,0.6974419045891262,20.0,0.3725501771379607,0.0061132042909824704,12,759.0,816.0
145,145,0.6997008280914228,20.0,0.3736845878621058,0.006132589765454988,12,768.0,819.0
146,146,0.7019791323951355,20.0,0.3748133406891603,0.006151878554470214,12,778.0,821.0
