Viral coefficient,Cycle time,Retention rate,Resurrection rate,New,Active,Lost
0.5274734583331012,20.0,0.15,0.0020148378124062293,10,0.0,0.0
0.527916122438041,19.925187187890234,0.15,0.0020546639749666595,10,2.0,8.0
0.5283650112413856,19.85074750623752,0.15,0.0020942915037126444,10,4.0,16.0
0.5288201958763411,19.77667909404594,0.15,0.0021337213893344656,10,6.0,24.0
0.5292817480095335,19.702980099601326,0.15,0.002172954617581319,10,8.0,32.0
0.5297497398403228,19.62964868042499,0.15,0.002211992169285951,10,10.0,40.0
0.5302242441000183,19.556683003227622,0.15,0.00225083502038919,10,12.0,48.0
0.5307053340509981,19.484081243863496,0.15,0.0022894841419643375,10,14.0,56.0
0.5311930834857265,19.411841587284847,0.15,0.0023279405002414435,10,16.0,64.0
0.5316875667256716,19.3399622274965,0.15,0.0023662050566314683,10,18.0,72.0
0.5321888586201207,19.26844136751071,0.15,0.002404278767750315,10,20.0,80.0
0.5326970345448898,19.197277219302258,0.15,0.002442162585442745,10,22.0,88.0
0.5332121704009306,19.126468003763733,0.15,0.002479857456806174,10,24.0,96.0
0.5337343426128284,19.056011950661052,0.15,0.0025173643242143483,10,26.0,104.0
0.5342636281271931,18.985907298589225,0.15,0.0025546841253409067,10,28.0,112.0
0.5348001044109402,18.916152294928295,0.15,0.0025918177931828212,10,30.0,120.0
0.5353438494494615,18.846745195799535,0.15,0.002628766256083722,10,32.0,128.0
0.5358949417446826,18.77768426602186,0.15,0.0026655304377571076,10,34.0,136.0
0.5364534603130077,18.708967779068423,0.15,0.0027021112573094317,10,36.0,144.0
0.5370194846831486,18.64059401702347,0.15,0.0027385096292630905,10,38.0,152.0
0.5375930948938381,18.572561270539392,0.15,0.002774726463579278,10,40.0,160.0
0.5381743714914244,18.504867838793984,0.15,0.0028107626656807385,10,42.0,168.0
0.5387633955273475,18.437512029447923,0.15,0.002846619136474401,10,44.0,176.0
0.5393602485554948,18.37049215860247,0.15,0.002882296772373904,10,46.0,184.0
0.5399650126294343,18.30380655075736,0.15,0.002917796465322,10,48.0,192.0
0.5405777702995256,18.237453538768932,0.15,0.0029531191028128656,10,50.0,200.0
0.5411986046099052,18.171431463808418,0.15,0.002988265567914276,10,52.0,208.0
0.5418275990953467,18.105738675320517,0.15,0.0030232367392896897,10,54.0,216.0
0.5424648377779938,18.040373530982087,0.15,0.003058033491220211,10,56.0,224.0
0.5431104051639645,17.97533439666112,0.15,0.003092656693626453,10,58.0,232.0
0.5437643862398255,17.910619646375867,0.15,0.003127107212090278,10,60.0,240.0
0.5444268664689357,17.8462276622542,0.15,0.0031613859078764416,10,62.0,248.0
0.5450979317876571,17.782156834493172,0.15,0.0031954936379541233,10,64.0,256.0
0.5457776686014326,17.71840556131874,0.15,0.0032294312550183533,10,66.0,264.0
0.5464661637807277,17.654972248945754,0.15,0.003263199607511324,10,68.0,272.0
0.5471635046568369,17.59185531153811,0.15,0.003296799539643607,10,70.0,280.0
0.5478697790175533,17.529053171169082,0.15,0.003330231891415256,10,72.0,288.0
0.5485850751026975,17.466564257781883,0.15,0.0033634974986368063,10,74.0,296.0
0.5493094815995089,17.404387009150433,0.15,0.003396597192950172,10,76.0,304.0
0.5500430876378941,17.342519870840277,0.15,0.0034295318018494328,10,79.0,311.0
0.5507859827855347,17.28096129616973,0.15,0.0034623021487015272,10,82.0,318.0
0.5515382570428499,17.21970974617122,0.15,0.003494909052766835,10,85.0,325.0
0.5523000008378158,17.158763689552806,0.15,0.0035273533292196537,10,88.0,332.0
0.5530713050206393,17.0981216026599,0.15,0.0035596357891685857,10,91.0,339.0
0.5538522608582827,17.037781969437177,0.15,0.0035917572396768124,10,94.0,346.0
0.5546429600288435,16.977743281390655,0.15,0.0036237184837822666,10,97.0,353.0
0.5554434946157832,16.918004037550013,0.15,0.003655520320517718,10,100.0,360.0
0.5562539571020062,16.858562744431033,0.15,0.0036871635449307405,10,103.0,367.0
0.5570744403637875,16.7994179159983,0.15,0.003718648948103591,10,106.0,374.0
0.5579050376645488,16.740568073628022,0.15,0.0037499773171729926,10,109.0,381.0
0.5587458426484806,16.682011746071073,0.15,0.003781149435349799,10,112.0,388.0
0.55959694933401,16.623747469416216,0.15,0.003812166081938592,10,115.0,395.0
0.5604584521071141,16.565773787053494,0.15,0.0038430280323571483,10,118.0,402.0
